timestamp,model,is_final,seed,eval_return_halfcheetah_v4,eval_return_hopper_v4,eval_return_walker2d_v4,eval_return_halfcheetah_v4_std,eval_return_hopper_v4_std,eval_return_walker2d_v4_std,elapsed_halfcheetah-v4,elapsed_hopper-v4,elapsed_walker2d-v4,elapsed_halfcheetah-v4_std,elapsed_hopper-v4_std,elapsed_walker2d-v4_std
2026-04-05T06:38:58.035331+00:00,baseline:bc,true,42,1554.46,1040.2,1078.6,,,,1449.5,2053.0,2133.0,,,
2026-04-12T01:52:39.516097+00:00,baseline:bc,true,456,1620.99,2971.82,2265.47,,,,11500,11500,11500,,,
2026-04-12T04:41:40.941181+00:00,baseline:bc,true,123,3252.63,148.08,339.04,,,,19690,19690,19690,,,
2026-04-12T04:41:40.941181+00:00,baseline:bc,true,mean,2142.693333333333,1386.7,1227.7033333333331,785.3135735629572,1178.536828557626,793.4973174637845,10879.833333333334,11081.0,11107.666666666666,,,
2026-05-05T16:03:39.932982+00:00,baseline:airl,false,42,2221.27,153.14,290.46,,,,17779,17783,11243,,,
2026-05-05T16:03:39.936402+00:00,baseline:airl,false,123,2729.61,169.14,654.22,,,,17783,17783,11243,,,
2026-05-05T16:03:39.937385+00:00,baseline:airl,false,456,2592.44,2198.04,129.25,,,,17783,17783,11243,,,
2026-05-05T17:51:45.709638+00:00,baseline:gail,false,42,1380.9,4.01,72.21,,,,13580,13583,6682,,,
2026-05-05T17:51:45.715922+00:00,baseline:gail,false,123,1601.96,37.24,9.29,,,,13580,13583,6682,,,
2026-05-05T17:51:45.717681+00:00,baseline:gail,false,456,1955.53,35.9,151.86,,,,13583,13583,6688,,,
2026-05-05T16:03:39.937385+00:00,baseline:airl,false,mean,2514.44,840.1066666666666,357.9766666666667,214.73299529105137,960.2260856462689,219.57117362916492,17781.666666666668,17783.0,11243.0,,,
2026-05-05T17:51:45.717681+00:00,baseline:gail,false,mean,1646.13,25.71666666666667,77.78666666666668,236.6617148308248,15.35867688167036,58.33738443075951,13581.0,13583.0,6684.0,,,
