timestamp,model,is_final,seed,convergence_steps_toy_convergence,median_steps_toy_convergence,final_residual_toy_convergence,final_projected_grad_toy_convergence,success_rate_toy_convergence,runtime_sec_toy_convergence,score_toy_convergence,elapsed_toy-convergence,test_accuracy_hyperclean_linear,f1_score_hyperclean_linear,cleaner_precision_hyperclean_linear,cleaner_recall_hyperclean_linear,best_step_hyperclean_linear,runtime_sec_hyperclean_linear,total_runtime_sec_hyperclean_linear,best_accuracy_test_accuracy_hyperclean_linear,best_accuracy_f1_score_hyperclean_linear,best_accuracy_cleaner_precision_hyperclean_linear,best_accuracy_cleaner_recall_hyperclean_linear,best_accuracy_step_hyperclean_linear,best_accuracy_runtime_sec_hyperclean_linear,best_f1_test_accuracy_hyperclean_linear,best_f1_f1_score_hyperclean_linear,best_f1_cleaner_precision_hyperclean_linear,best_f1_cleaner_recall_hyperclean_linear,best_f1_step_hyperclean_linear,best_f1_runtime_sec_hyperclean_linear,score_hyperclean_linear,elapsed_hyperclean-linear,convergence_steps_toy_convergence_std,median_steps_toy_convergence_std,final_residual_toy_convergence_std,final_projected_grad_toy_convergence_std,success_rate_toy_convergence_std,runtime_sec_toy_convergence_std,score_toy_convergence_std,test_accuracy_hyperclean_linear_std,f1_score_hyperclean_linear_std,cleaner_precision_hyperclean_linear_std,cleaner_recall_hyperclean_linear_std,best_step_hyperclean_linear_std,runtime_sec_hyperclean_linear_std,total_runtime_sec_hyperclean_linear_std,best_accuracy_test_accuracy_hyperclean_linear_std,best_accuracy_f1_score_hyperclean_linear_std,best_accuracy_cleaner_precision_hyperclean_linear_std,best_accuracy_cleaner_recall_hyperclean_linear_std,best_accuracy_step_hyperclean_linear_std,best_accuracy_runtime_sec_hyperclean_linear_std,best_f1_test_accuracy_hyperclean_linear_std,best_f1_f1_score_hyperclean_linear_std,best_f1_cleaner_precision_hyperclean_linear_std,best_f1_cleaner_recall_hyperclean_linear_std,best_f1_step_hyperclean_linear_std,best_f1_runtime_sec_hyperclean_linear_std,score_hyperclean_linear_std,test_accuracy_hyperclean_mlp,f1_score_hyperclean_mlp,cleaner_precision_hyperclean_mlp,cleaner_recall_hyperclean_mlp,best_step_hyperclean_mlp,runtime_sec_hyperclean_mlp,total_runtime_sec_hyperclean_mlp,best_accuracy_test_accuracy_hyperclean_mlp,best_accuracy_f1_score_hyperclean_mlp,best_accuracy_cleaner_precision_hyperclean_mlp,best_accuracy_cleaner_recall_hyperclean_mlp,best_accuracy_step_hyperclean_mlp,best_accuracy_runtime_sec_hyperclean_mlp,best_f1_test_accuracy_hyperclean_mlp,best_f1_f1_score_hyperclean_mlp,best_f1_cleaner_precision_hyperclean_mlp,best_f1_cleaner_recall_hyperclean_mlp,best_f1_step_hyperclean_mlp,best_f1_runtime_sec_hyperclean_mlp,score_hyperclean_mlp,elapsed_hyperclean-mlp
2026-04-04T07:37:19.453483+00:00,baseline:rhg,true,123,260.457,303.0,0.029994,1e-05,1.0,0.513467,260.457,5,84.16,89.716179,0.831852,0.9736,74.0,71.690988,95.35603,84.16,89.716179,0.831852,0.9736,74.0,71.690988,83.68,89.806458,0.832821,0.9744,1.0,2.539105,84.16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2026-04-04T07:37:19.454644+00:00,baseline:rhg,true,456,260.423,301.0,0.029924,1e-05,1.0,0.539379,260.423,5,84.92,89.389427,0.836003,0.9604,57.0,54.201105,93.000949,84.92,89.389427,0.836003,0.9604,57.0,54.201105,84.77,89.417885,0.835593,0.9616,1.0,2.519931,84.92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2026-04-04T07:37:24.768561+00:00,baseline:v_pbgd,true,123,260.457,303.0,0.029994,1e-05,1.0,0.516588,260.457,7,89.88,91.957573,0.887896,0.9536,3410.0,6.53013,69.242478,89.88,91.957573,0.887896,0.9536,3410.0,6.53013,89.83,92.028572,0.88922,0.9536,3880.0,7.335644,89.88,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2026-04-04T07:37:24.769995+00:00,baseline:v_pbgd,true,456,260.423,301.0,0.029924,1e-05,1.0,0.517659,260.423,7,90.33,91.396599,0.882638,0.9476,3270.0,6.093523,68.726975,90.33,91.396599,0.882638,0.9476,3270.0,6.093523,90.31,91.428574,0.883582,0.9472,3490.0,6.464838,90.33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2026-04-04T07:37:24.879646+00:00,baseline:g_pbgd,true,123,306.122,313.0,0.056776,1e-05,1.0,0.694205,306.122,8,89.49,76.672234,0.802977,0.7336,370.0,1.09795,59.216492,89.49,76.672234,0.802977,0.7336,370.0,1.09795,82.18,90.673874,0.876446,0.9392,36770.0,54.476652,89.49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2026-04-04T07:37:24.882189+00:00,baseline:g_pbgd,true,456,301.618,313.0,0.097786,1e-05,1.0,0.673658,301.618,8,90.25,81.692497,0.85752,0.78,1060.0,2.192464,59.904308,90.25,81.692497,0.85752,0.78,1060.0,2.192464,84.31,90.077827,0.876894,0.926,20550.0,31.167706,90.25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2026-04-04T07:37:29.912950+00:00,baseline:t_rhg,true,123,260.457,303.0,0.029994,1e-05,1.0,0.51488,260.457,7,84.1,89.085869,0.827444,0.9648,74.0,31.68457,42.01943,84.1,89.085869,0.827444,0.9648,74.0,31.68457,83.68,89.20916,0.828984,0.9656,1.0,1.533608,84.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2026-04-04T07:37:29.914282+00:00,baseline:t_rhg,true,456,260.423,301.0,0.029924,1e-05,1.0,0.514734,260.423,7,84.92,88.847656,0.82866,0.9576,57.0,23.625046,40.350498,84.92,88.847656,0.82866,0.9576,57.0,23.625046,84.88,88.880646,0.829235,0.9576,5.0,3.01519,84.92,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2026-04-04T13:36:33.650210+00:00,baseline:v_pbgd,true,42,261.256,303.0,0.030345,1e-05,1.0,0.502807,261.256,7,90.08,91.810837,0.88379,0.9552,3110.0,5.342694,61.159545,90.08,91.810837,0.88379,0.9552,3110.0,5.342694,90.07,91.831642,0.883833,0.9556,3080.0,5.288267,90.08,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.48,92.050041,0.887199,0.9564,79280.0,168.134736,169.627938,91.48,92.050041,0.887199,0.9564,79280.0,168.134736,91.48,92.050041,0.887199,0.9564,79280.0,168.134736,91.48,174.3
2026-04-04T13:36:33.650210+00:00,baseline:v_pbgd,true,mean,260.712,302.3333333333333,0.030087666666666665,1e-05,1.0,0.5123513333333333,260.712,7.0,90.09666666666665,91.72166966666667,0.8847746666666666,0.9521333333333333,3263.3333333333335,5.988782333333333,66.37633266666667,90.09666666666665,91.72166966666667,0.8847746666666666,0.9521333333333333,3263.3333333333335,5.988782333333333,90.07,91.76292933333333,0.885545,0.9521333333333333,3483.3333333333335,6.362916333333334,90.09666666666665,24.766666666666666,0.3849164411487994,0.9428090415820634,0.00018419253212030356,0.0,0.0,0.0067630113772556184,0.3849164411487994,0.18408935028645546,0.23753745973963036,0.0022566667651403257,0.0032714251057027626,122.56517540566823,0.49039373226305505,3.694824398629912,0.18408935028645546,0.23753745973963036,0.0022566667651403257,0.0032714251057027626,122.56517540566823,0.49039373226305505,0.19595917942265587,0.24972047429253574,0.0026006369732561184,0.0035826743580118234,326.63265129023597,0.8389394752242593,0.18408935028645546,91.48,92.050041,0.887199,0.9564,79280.0,168.134736,169.627938,91.48,92.050041,0.887199,0.9564,79280.0,168.134736,91.48,92.050041,0.887199,0.9564,79280.0,168.134736,91.48,60.76666666666667
2026-04-04T13:37:07.326187+00:00,baseline:g_pbgd,true,42,303.318,313.0,0.089126,1e-05,1.0,0.674206,303.318,8,89.77,83.521446,0.857564,0.814,760.0,1.397157,61.924428,89.77,83.521446,0.857564,0.814,760.0,1.397157,84.08,90.741096,0.874583,0.9428,28550.0,45.497482,89.77,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.38,90.820122,0.88923,0.928,49160.0,106.116408,107.98262,92.38,90.820122,0.88923,0.928,49160.0,106.116408,92.37,90.841484,0.889272,0.9284,49600.0,107.085187,92.38,112.9
