timestamp,model,is_final,seed,test_acc_MUTAG,macro_f1_MUTAG,test_acc_PROTEINS,macro_f1_PROTEINS,test_acc_NCI1,macro_f1_NCI1,test_acc_MUTAG_std,macro_f1_MUTAG_std,test_acc_PROTEINS_std,macro_f1_PROTEINS_std,test_acc_NCI1_std,macro_f1_NCI1_std,elapsed_MUTAG,elapsed_PROTEINS,elapsed_NCI1,elapsed_MUTAG_std,elapsed_PROTEINS_std,elapsed_NCI1_std,agent_params
2026-04-22T04:12:55.898441+00:00,baseline:diffpool,true,42,85.64,83.25,70.98,68.83,79.25,79.23,,,,,,,241,1167,3374,,,,
2026-03-31T16:01:20.240428+00:00,baseline:diffpool,true,123,78.71,72.97,71.44,69.65,77.52,77.47,,,,,,,1,1,5568,,,,
2026-03-31T16:01:20.240802+00:00,baseline:diffpool,true,456,79.77,74.26,70.52,68.12,77.98,77.93,,,,,,,1,1,5568,,,,
2026-04-22T04:12:55.898441+00:00,baseline:diffpool,true,mean,81.37333333333333,76.82666666666667,70.98,68.86666666666667,78.25,78.21,3.047866284614354,4.57241244372766,0.3755884272267547,0.6251577578677424,0.7316192087873772,0.7452963616352012,81.0,389.6666666666667,4836.666666666667,,,,
2026-04-22T05:57:25.218421+00:00,baseline:gin_sum,true,42,82.98,80.56,75.2,73.97,78.13,77.97,,,,,,,221,1191,3972,,,,
2026-04-21T12:50:57.559639+00:00,baseline:gin_sum,true,123,86.14,84.82,74.03,72.47,80.49,80.36,,,,,,,274,1358,8,,,,
2026-04-21T12:50:57.560304+00:00,baseline:gin_sum,true,456,82.95,80.34,74.39,72.65,79.93,79.83,,,,,,,274,1358,8,,,,
2026-04-22T05:57:25.218421+00:00,baseline:gin_sum,true,mean,84.02333333333333,81.90666666666667,74.54,73.03,79.51666666666667,79.38666666666667,1.496759462602086,2.061994719251774,0.4892851929090035,0.6687301398920182,1.0068211801948208,1.0248360302452726,256.3333333333333,1302.3333333333333,1329.3333333333333,,,,
2026-04-22T04:32:47.259778+00:00,baseline:sagpool,true,42,86.17,84.82,74.4,72.02,66.76,63.29,,,,,,,335,1690,4569,,,,
2026-04-03T16:32:55.779917+00:00,baseline:sagpool,true,123,93.04,91.99,80.06,78.7,75.74,75.41,,,,,,,409,2092,7071,,,,
2026-04-03T16:32:55.780707+00:00,baseline:sagpool,true,456,93.63,92.9,79.51,77.6,69.76,68.42,,,,,,,409,2093,7071,,,,
2026-04-22T04:32:47.259778+00:00,baseline:sagpool,true,mean,90.94666666666667,89.90333333333332,77.99000000000001,76.10666666666667,70.75333333333333,69.04,3.386190911465106,3.6136070007065766,2.548424349802572,2.9243954740918503,3.732749954419957,4.967353420081964,384.3333333333333,1958.3333333333333,6237.0,,,,
2026-04-21T11:31:42.723977+00:00,baseline:gin_sum,false,123,,,,,,,,,,,,,,,,,,,
2026-04-21T11:31:42.724606+00:00,baseline:gin_sum,false,456,,,,,,,,,,,,,,,,,,,
2026-04-21T12:50:57.560934+00:00,baseline:gin_sum,false,mean,84.71666666666667,82.47,74.15,72.60333333333334,,,1.622477529377011,2.248088076566391,0.20784609690826494,0.11718930554164725,,,273.6666666666667,1358.0,8.0,0.5773502691896257,0.0,0.0,
2026-04-21T15:07:05.850526+00:00,baseline:sortpool,false,123,85.12,82.19,70.71,66.97,,,,,,,,,264,2316,,,,,
2026-04-21T15:07:05.851249+00:00,baseline:sortpool,false,456,78.71,74.3,71.6,68.77,,,,,,,,,266,2316,,,,,
2026-04-21T15:07:05.851935+00:00,baseline:sortpool,false,mean,83.33333333333333,80.06,71.00666666666666,67.33333333333333,,,4.038196792298931,5.044373102775012,0.5138417395787672,1.2938444007427332,,,264.6666666666667,2311.3333333333335,,1.1547005383792515,8.082903768654761,,
2026-04-21T17:27:23.162392+00:00,baseline:gin_sum,false,42,85.09,83.07,74.13,72.75,79.03,78.91,,,,,,,241,1154,3400,,,,
2026-04-21T20:10:26.168199+00:00,baseline:diffpool,false,42,87.19,85.54,71.79,70.54,79.29,79.24,,,,,,,678,3482,10985,,,,
2026-04-22T01:08:53.458580+00:00,baseline:sagpool,false,42,86.73,82.64,73.77,72.13,74.5,74.22,,,,,,,1037,5612,12561,,,,
2026-04-22T04:31:50.771774+00:00,baseline:sortpool,false,42,87.22,85.14,72.15,68.88,64.31,64.15,,,,,,,233,1114,4522,,,,
2026-04-22T04:45:38.517498+00:00,baseline:set2set,false,42,81.4,78.57,69.55,65.65,66.96,66.06,,,,,,,316,1635,5350,,,,
2026-04-22T06:06:06.996667+00:00,baseline:gmt,false,42,80.26,77.1,66.76,60.13,52.12,39.38,,,,,,,227,1320,4506,,,,
