timestamp,model,is_final,seed,elapsed_letter,elapsed_spambase,elapsed_splice,accuracy_letter,auc_letter,accuracy_spambase,auc_spambase,accuracy_letter_std,auc_letter_std,accuracy_spambase_std,auc_spambase_std,accuracy_splice,auc_splice,accuracy_splice_std,auc_splice_std
2026-04-23T11:02:22.040900+00:00,baseline:random,true,42,151,151,151,0.8345,0.766588,0.934924,0.903579,,,,,0.77116,0.751254,,
2026-04-23T11:02:22.040900+00:00,baseline:random,true,mean,5335.666666666667,2444.3333333333335,53.666666666666664,0.816,0.7235876666666666,0.8994939999999999,0.8926246666666667,0.013209844813622909,0.030836170928887355,0.028356586959646594,0.009079907133641587,0.7889240000000001,0.7358933333333333,0.014097005379394135,0.011608124061286652
2026-04-23T11:03:22.376374+00:00,baseline:bald,true,42,210,210,210,0.893,0.774725,0.926247,0.900976,,,,,0.805643,0.784561,,
2026-04-23T11:03:22.376374+00:00,baseline:bald,true,mean,9002.0,1045.6666666666667,494.6666666666667,0.8356666666666667,0.716025,0.9052783333333334,0.8923356666666667,0.040549010126293104,0.04214200695268322,0.015474121737777423,0.008485740051534824,0.7951933333333333,0.7370166666666668,0.010656493179695116,0.03385977584424062
2026-04-23T11:03:27.578132+00:00,baseline:bait,true,42,49,212,212,,,0.939262,0.922777,,,,,0.830721,0.773433,,
2026-04-23T11:03:27.694609+00:00,baseline:least_confidence,true,42,215,215,215,0.867,0.728275,0.947939,0.918547,,,,,0.840125,0.784013,,
2026-04-23T11:03:27.694609+00:00,baseline:least_confidence,true,mean,11119.0,5036.0,477.0,0.7955,0.66805,0.92697,0.9075920000000001,0.05237524860720631,0.04550398792047426,0.014853739394509369,0.007917704254811916,0.814002,0.7435740000000001,0.018516036346907516,0.030685921560220413
2026-04-23T11:03:42.770406+00:00,baseline:badge,true,42,187,228,228,0.8955,0.805913,0.937093,0.914913,,,,,0.840125,0.768495,,
2026-04-23T11:03:42.770406+00:00,baseline:badge,true,mean,7277.666666666667,7615.333333333333,472.0,0.8563333333333333,0.7515459999999999,0.92697,0.9028740000000001,0.027713815247193137,0.038913606643435135,0.008914553755890769,0.008529411507640283,0.8202713333333334,0.748328,0.018158917044312484,0.014262519623124107
2026-04-23T11:09:50.893833+00:00,baseline:bait,true,mean,140.0,5733.333333333333,1123.0,0.7913333333333333,0.6706500000000001,0.9291393333333334,0.9109906666666667,0.013676825492619098,0.01040314455665528,0.01138674672103005,0.009090639960359704,0.8129573333333333,0.7556166666666666,0.027368340228974265,0.016983420353064587
