timestamp,model,is_final,seed,test_r2_nguyen7,test_r2_nguyen10,test_r2_koza3,test_r2_nguyen7_std,test_r2_nguyen10_std,test_r2_koza3_std,elapsed_koza3,elapsed_nguyen7,elapsed_nguyen10,elapsed_nguyen7_std,elapsed_nguyen10_std,elapsed_koza3_std
2026-04-23T11:02:03.765002+00:00,baseline:lexicase_gp,true,42,0.985628,1.0,0.999978,,,,200,29,200,,,
2026-03-07T17:39:50.883161+00:00,baseline:lexicase_gp,true,123,0.946157,0.643314,0.908243,,,,,,,,,
2026-03-07T17:39:50.883441+00:00,baseline:lexicase_gp,true,456,0.972426,0.5,0.858879,,,,,,,,,
2026-04-23T11:02:03.765002+00:00,baseline:lexicase_gp,true,mean,0.9680703333333334,0.714438,0.9223666666666667,0.01640566638559844,0.21022839569065513,0.058462754070908764,200.0,29.0,200.0,,,
2026-04-05T03:03:18.285596+00:00,baseline:parsimony_gp,true,42,0.998416,0.660146,0.998152,,,,5.2,4.3,6.1,,,
2026-04-05T03:04:04.947089+00:00,baseline:parsimony_gp,true,123,0.993885,0.767062,0.995727,,,,4.4,7.1,7.1,,,
2026-04-05T03:04:05.025627+00:00,baseline:parsimony_gp,true,456,0.96424,1.0,0.992995,,,,7.2,5.7,6.8,,,
2026-04-05T03:04:05.025627+00:00,baseline:parsimony_gp,true,mean,0.9855136666666667,0.8090693333333334,0.9956246666666667,0.01515605842192781,0.1418888000497416,0.0021065795868078882,5.6000000000000005,5.7,6.666666666666667,,,
2026-04-23T10:58:52.039617+00:00,baseline:standard_gp,true,42,0.997681,0.883631,0.985457,,,,7,6,7,,,
2026-03-07T17:35:56.587673+00:00,baseline:standard_gp,true,123,0.991348,0.557222,0.997882,,,,,,,,,
2026-03-07T17:35:56.588664+00:00,baseline:standard_gp,true,456,-1.0,0.321661,0.994213,,,,,,,,,
2026-04-23T10:58:52.039617+00:00,baseline:standard_gp,true,mean,0.32967633333333335,0.5875046666666667,0.9925173333333334,0.9402267068079321,0.23042041308636027,0.0052122688811005275,7.0,6.0,7.0,,,
2026-04-23T06:36:55.775460+00:00,baseline:lexicase_gp,false,42,,,,,,,,,,,,
2026-04-23T06:36:55.822241+00:00,baseline:standard_gp,false,42,,,,,,,,,,,,
