timestamp,model,is_final,seed,ECE_rf-mnist,Brier_rf-mnist,NLL_rf-mnist,ECE_mlp-fashion_mnist,Brier_mlp-fashion_mnist,NLL_mlp-fashion_mnist,ECE_gbm-madelon,Brier_gbm-madelon,NLL_gbm-madelon,ECE_svm-breast_cancer,Brier_svm-breast_cancer,NLL_svm-breast_cancer,ECE_rf-mnist_std,Brier_rf-mnist_std,NLL_rf-mnist_std,ECE_mlp-fashion_mnist_std,Brier_mlp-fashion_mnist_std,NLL_mlp-fashion_mnist_std,ECE_gbm-madelon_std,Brier_gbm-madelon_std,NLL_gbm-madelon_std,ECE_svm-breast_cancer_std,Brier_svm-breast_cancer_std,NLL_svm-breast_cancer_std,elapsed_rf-mnist,elapsed_mlp-fashion_mnist,elapsed_svm-breast_cancer,elapsed_gbm-madelon
2026-04-21T13:02:31.912080+00:00,baseline:isotonic_regression,true,42,0.014427,0.078758,0.223328,0.012344,0.182667,0.400997,0.016128,0.151974,0.581668,0.018848,0.033275,0.095497,,,,,,,,,,,,,6,15,2,35
2026-03-24T15:14:00.801494+00:00,baseline:isotonic_regression,true,123,0.019585,0.06855,0.271843,0.012077,0.185117,0.371663,,,,,,,,,,,,,,,,,,,,,,
2026-03-24T15:14:00.801794+00:00,baseline:isotonic_regression,true,456,0.012848,0.077499,0.215483,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-21T13:02:31.912080+00:00,baseline:isotonic_regression,true,mean,0.01562,0.07493566666666666,0.23688466666666666,0.012210499999999999,0.183892,0.38633,0.016128,0.151974,0.581668,0.018848,0.033275,0.095497,0.002876830315932219,0.0045445076252060065,0.02492588759146246,0.0001335000000000008,0.0012250000000000039,0.014666999999999986,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,2.0,35.0
2026-04-08T02:58:26.714844+00:00,baseline:platt_scaling,true,42,0.025314,0.07754,0.17028,0.009051,0.182132,0.369057,0.030624,0.152134,0.469615,0.059499,0.032844,0.123195,,,,,,,,,,,,,2,2,2,
2026-03-24T15:14:21.026556+00:00,baseline:platt_scaling,true,123,0.02841,0.069944,0.154864,0.012623,0.184482,0.354799,0.033755,0.144281,0.45097,0.056226,0.015386,0.076397,,,,,,,,,,,,,,,,
2026-03-24T15:14:21.026907+00:00,baseline:platt_scaling,true,456,0.022588,0.076064,0.162825,0.013599,0.179196,0.352999,0.021921,0.138715,0.432486,0.032286,0.029055,0.102967,,,,,,,,,,,,,,,,
2026-04-08T02:58:26.714844+00:00,baseline:platt_scaling,true,mean,0.025437333333333336,0.07451600000000001,0.16265633333333332,0.011757666666666666,0.18193666666666666,0.3589516666666667,0.028766666666666666,0.14504333333333333,0.45102366666666666,0.049337,0.025761666666666665,0.10085300000000001,0.0023784209514344226,0.003288569293781109,0.006294685606834452,0.0019549385895441546,0.002162416138386776,0.007183236101430127,0.005006539345917719,0.005504740643804711,0.015157898278528672,0.012130693384963614,0.007497998592217051,0.019163593052104463,2.0,2.0,2.0,
2026-04-21T13:02:31.859738+00:00,baseline:temperature_scaling,true,42,0.012242,0.074941,0.162236,0.009478,0.187667,0.382465,0.030549,0.15199,0.469187,0.030495,0.025011,0.086363,,,,,,,,,,,,,6,15,2,35
2026-03-24T15:14:04.843216+00:00,baseline:temperature_scaling,true,123,0.010174,0.066946,0.147606,0.00978,0.187519,0.361437,,,,,,,,,,,,,,,,,,,,,,
2026-03-24T15:14:04.843544+00:00,baseline:temperature_scaling,true,456,0.007967,0.074715,0.156033,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-21T13:02:31.859738+00:00,baseline:temperature_scaling,true,mean,0.010127666666666667,0.07220066666666668,0.15529166666666666,0.009629,0.187593,0.37195100000000003,0.030549,0.15199,0.469187,0.030495,0.025011,0.086363,0.0017455689298589408,0.0037167557836849507,0.005995632095302567,0.0001510000000000001,7.400000000000462e-05,0.010513999999999996,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,2.0,35.0
