timestamp,model,is_final,seed,best_val_score_xgboost,convergence_auc_xgboost,total_evals_xgboost,best_val_score_svm,convergence_auc_svm,total_evals_svm,best_val_score_nn,convergence_auc_nn,total_evals_nn,best_val_score_xgboost_std,convergence_auc_xgboost_std,total_evals_xgboost_std,best_val_score_svm_std,convergence_auc_svm_std,total_evals_svm_std,best_val_score_nn_std,convergence_auc_nn_std,total_evals_nn_std,elapsed_xgboost,elapsed_svm,elapsed_nn
2026-04-04T08:03:00.248079+00:00,baseline:bohb,true,42,-0.388511,0.916164,105.0,0.978932,0.95814,95.0,-3031.235036,0.98742,95.0,,,,,,,,,,1309,4,36
2026-04-04T08:03:00.249191+00:00,baseline:bohb,true,123,-0.3928,0.976698,105.0,0.978932,0.913752,95.0,-3019.667862,0.996873,95.0,,,,,,,,,,1702,4,36
2026-04-04T08:03:00.249950+00:00,baseline:bohb,true,456,-0.385948,0.982249,105.0,0.980686,0.977407,95.0,-2993.781024,0.56707,95.0,,,,,,,,,,1702,4,36
2026-04-04T08:03:00.249950+00:00,baseline:bohb,true,mean,-0.38908633333333337,0.9583703333333333,105.0,0.9795166666666667,0.9497663333333334,95.0,-3014.894640666667,0.8504543333333333,95.0,0.0028267451640043807,0.029930300481099244,0.0,0.000826843529467433,0.026653060816515785,0.0,15.65861818396458,0.20042014217859666,0.0,1571.0,4.0,36.0
2026-04-23T06:58:10.056235+00:00,baseline:dehb,true,42,-0.388511,0.847548,80.0,0.978932,0.973311,65.0,-3086.08148,1.003472,70.0,,,,,,,,,,1276,1276,1276
2026-04-04T12:54:22.105061+00:00,baseline:dehb,true,123,-0.399655,0.997118,116.0,0.956097,0.982038,354.0,-3062.283879,1.007861,106.0,,,,,,,,,,1882,7,41
2026-04-04T12:54:22.106517+00:00,baseline:dehb,true,456,-0.416707,1.003067,116.0,0.963127,0.988664,320.0,-2997.879891,0.794007,99.0,,,,,,,,,,2392,7,41
2026-04-23T06:58:10.056235+00:00,baseline:dehb,true,mean,-0.40162433333333336,0.9492443333333332,104.0,0.966052,0.9813376666666667,246.33333333333334,-3048.748416666667,0.9351133333333332,91.66666666666667,0.011594892822081435,0.07195116774745369,16.97056274847714,0.009549032237178129,0.0062873684125837005,128.9711423363985,37.25843645819504,0.09979333247711933,15.58489297008128,1850.0,430.0,452.6666666666667
2026-04-04T07:18:08.990706+00:00,baseline:hyperband,true,42,-0.388511,0.916164,105.0,0.978932,0.95814,95.0,-3045.502059,0.995087,95.0,,,,,,,,,,2,2,2
2026-04-04T07:18:08.991993+00:00,baseline:hyperband,true,123,-0.393145,0.976994,105.0,0.978932,0.913752,95.0,-3070.290112,0.99816,95.0,,,,,,,,,,2,2,2
